url,title,description,downloaded_at,status,transcribed,duration_seconds,category,tags,topics,file_path,posted_at
https://locals.com/scottadams/feed?post=6668261,My Covid Shot risk analysis,This will make all of you angry. But I had to do it.,2026-03-16T23:51:29.899711+00:00,downloaded,0,,Micro Lessons,,,./downloads\My Covid Shot risk analysis.mp4,
https://locals.com/scottadams/feed?post=6174678,Micro Lesson on curing loneliness,You can share this one outside of Locals.,2026-03-17T00:07:46.010434+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on curing loneliness.mp4,
https://locals.com/scottadams/feed?post=6132990,Micro Lesson on Media Training,"If you plan to be interviewed by the press, or want to understand what you are seeing on the news, this is for you.",2026-03-17T00:24:05.513230+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on Media Training.mp4,
https://locals.com/scottadams/feed?post=5977293,"Micro Lesson on ""I get to...""",Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T00:40:25.989088+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on _I get to..._.mp4,
https://locals.com/scottadams/feed?post=5933551,Micro Lesson on the persuasion ethics stack,These Micro Lessons are normally only for my Locals subscribers but they asked me to share this one.,2026-03-17T00:56:47.517537+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on the persuasion ethics stack.mp4,
https://locals.com/scottadams/feed?post=5924409,Micro Lesson on the human machine,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T01:13:04.991786+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on the human machine.mp4,
https://locals.com/scottadams/feed?post=5917679,Micro Lesson on brainwashing and politics,I explain the different brainwashing methods on the political left versus right.,2026-03-17T01:21:09.330126+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on brainwashing and politics.mp4,
https://locals.com/scottadams/feed?post=5856133,Micro Lesson on being smart about America’s debt,#MicroLesson,2026-03-17T01:37:27.504079+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on being smart about America’s debt.mp4,
https://locals.com/scottadams/feed?post=5856119,Micro Lesson on Persuasion Timing,#MicroLesson,2026-03-17T01:53:36.395443+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on Persuasion Timing.mp4,
https://locals.com/scottadams/feed?post=5806944,Micro Lesson on Judging Yourself by your Future,#MicroLesson,2026-03-17T02:09:50.117835+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on Judging Yourself by your Future.mp4,
https://locals.com/scottadams/feed?post=5751847,Micro Lesson on single parents and poverty,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T02:25:59.163682+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on single parents and poverty.mp4,
https://locals.com/scottadams/feed?post=5732989,Micro Lesson on fake equals real,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T02:42:16.650245+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on fake equals real.mp4,
https://locals.com/scottadams/feed?post=5706753,Micro Lesson on Underdoing Exercise,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T02:58:34.622902+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on Underdoing Exercise.mp4,
https://locals.com/scottadams/feed?post=5702825,Micro Lesson on weed,You asked for it!,2026-03-17T03:15:01.887588+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on weed.mp4,
https://locals.com/scottadams/feed?post=5664662,Micro Lesson on Identity persuasion,Identity > reasons,2026-03-17T03:31:10.083593+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on Identity persuasion.mp4,
https://locals.com/scottadams/feed?post=5641973,"Micro Lesson on how to ""Get Out!"" of your head",Do you have recurring negative thoughts about the past or the future? This reframe teaches you how to quickly escape them.,2026-03-17T03:47:26.689939+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on how to _Get Out!_ of your head.mp4,
https://locals.com/scottadams/feed?post=5614391,Micro Lesson on the Great Filters of life,Includes the Dopamine Chase filter,2026-03-17T04:03:46.291165+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on the Great Filters of life.mp4,
https://locals.com/scottadams/feed?post=5595417,Micro Lesson on how weird you are,Ever wonder how weird you are? I can tell you.,2026-03-17T04:36:09.636671+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on how weird you are.mp4,
https://locals.com/scottadams/feed?post=5555373,Micro Lesson on mental health,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T04:52:33.940231+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on mental health.mp4,
https://locals.com/scottadams/feed?post=5531359,Micro Lesson on free will versus authoring,You asked for this in a micro lesson and here it is.,2026-03-17T05:08:55.306660+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on free will versus authoring.mp4,
https://locals.com/scottadams/feed?post=5527282,Micro Lesson on Mind-reading Persuasion,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T05:25:07.428135+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on Mind-reading Persuasion.mp4,
https://locals.com/scottadams/feed?post=5503491,Micro Lesson on The Blob running the country,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T05:41:34.405668+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on The Blob running the country.mp4,
https://locals.com/scottadams/feed?post=5503470,Micro Lesson on willpower versus systems,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T05:57:58.780226+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on willpower versus systems.mp4,
https://locals.com/scottadams/feed?post=5486739,Micro Lesson on SPECIFICALLY how to make eye contact,Which eye do you look at?,2026-03-17T06:14:15.624326+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on SPECIFICALLY how to make eye contact.mp4,
https://locals.com/scottadams/feed?post=5479984,Micro Lesson on how to end a conversation,Locals makes it simple for creators to start a subscription based community and make money directly from their supports.,2026-03-17T06:30:31.815417+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on how to end a conversation.mp4,
https://locals.com/scottadams/feed?post=5471386,Micro Lesson on eye contact,You asked for this one. Should make a huge difference to some of you.,2026-03-17T06:46:48.634350+00:00,downloaded,0,,Micro Lessons,,,./downloads\Micro Lesson on eye contact.mp4,
